,Address,Business_Summary,Country_of_Incorporation,Established_In,Latest_Update,Name,Number_of_Employees,Ownership_Type,Primary_Sector,contacts
0,,,Saudi Arabia,, Last updated on: 25 January 2016 ,Brown and Root Saudi Company (dissolved),-,Private,Construction,
1,,Involved in civil contracting.,Saudi Arabia,1972, Last updated on: 25 January 2016 ,Philipp Holzmann AG (inactive),-,Foreign,Construction,
2,,"Construction of buildings, dams, roads, water and sanitation projects and electrical works",Saudi Arabia,2011, Last updated on: 07 September 2018 ,Arab Thamuz Contracting ,-,Private,Construction,
3,,,Saudi Arabia,, Last updated on: 07 September 2018 ,Saudi Asos for Contracting ,-,Private,Construction,
4,,,Saudi Arabia,, Last updated on: 06 September 2018 ,Abdul Rahman A. Al Hassan Heavy Equipment Renting Establishment ,-,Private,Construction,
5,,,Saudi Arabia,, Last updated on: 07 September 2018 ,Subuk Al Injaz Contracting Company ,-,Private,Construction,
6,,,Saudi Arabia,, Last updated on: 07 September 2018 ,Al Huzaim Establishment for Contracting ,-,Private,Construction,
7,,"Buildings, roads, water and wastewater, electrical and dam works",Saudi Arabia,, Last updated on: 05 September 2018 ,Droup Al Jazera Contracting Company ,-,Private,Construction,
8,,Buildings construction and maintenance,Saudi Arabia,, Last updated on: 05 September 2018 ,Arabian Skills Establishment for Agriculture and Trade ,-,Private,Construction,
9,,"Construction of buildings, roads, water and sewerage and electrical works",Saudi Arabia,, Last updated on: 07 September 2018 ,Taamir Al Wosta Contracting Company ,-,Private,Construction,
10,,,Saudi Arabia,, Last updated on: 05 September 2018 ,Al Rayyan Al Aali General Contracting ,-,Private,Construction,
11,,Manufacture of plastic packaging products.,Saudi Arabia,2007," Also known as: Zamil Alpla, Zamil Alpla Plastic Last updated on: 29 December 2017 ",Zamil Alpla Plastics Middle East Company ,150,Private,Industrial Manufacturing,
12,,Civil contracting for commercial and residential buildings and electromechanical; provides real estate property management services.,Saudi Arabia,1981, Also known as: NASSRCO Last updated on: 25 January 2016 ,Al Nassr Ahssa Trading and Contracting Company (dissolved),-,Private,Construction,
13,,,Saudi Arabia,, Last updated on: 07 September 2018 ,Fadghoush H. Al Ajmi Contracting Company ,-,Private,Construction,
14,,"Construction of buildings, roads, dams, water and sanitation, electrical, mechanical and electronic works and landscaping works",Saudi Arabia,, Last updated on: 07 September 2018 ,Saleh Bin Mohammed Al Qarie General Contracting Establishment and Equipment Rental ,-,Private,Construction,
15, Al Hijra Area 4370 Saudi Arabia Medina,Provides civil contracting for commercial and residential building projects.,Saudi Arabia,, Last updated on: 02 April 2019 ,Naser Dakheel Allah Al Luqmani Contracting Company ,-,Private,Construction,"Tel: +966 14-822-1945,Tel: +966 14-823-3542,"
16,,Provides civil contracting for commercial and residential building projects.,Saudi Arabia,, Last updated on: 05 September 2018 ,Khalid Sultan Al Hajri Contracting Company ,-,Private,Construction,
17,,Buildings and roads construction,Saudi Arabia,, Last updated on: 04 September 2018 ,Al Manjoof Contracting and Maintenance ,-,Private,Construction,
18,,Construction of buildings and water and sewerage projects,Saudi Arabia,, Last updated on: 07 September 2018 ,Atiyah Mohammed Awad Al Ahmadi Contracting Company ,-,Private,Construction,
19,,,Saudi Arabia,, Last updated on: 05 September 2018 ,AbdulMohsin Shaaban Al Qahtani Contracting Establishment ,-,Private,Construction,
20,,,Saudi Arabia,, Last updated on: 07 September 2018 ,Gulf Universe for Trading and Contracting ,-,Private,Construction,
21,,,Saudi Arabia,, Last updated on: 07 September 2018 ,Al Mehthel Establishment for Contracting ,-,Private,Construction,
22, Saudi Arabia Riyadh,Manufacture of generic and licensed pharmaceuticals.,Saudi Arabia,, Also known as: SPIMACO Development Last updated on: 06 September 2018 ,Pharmaceutical Industries for Development Co. (dissolved),-,Private,Health Care,
23,,,Saudi Arabia,, Last updated on: 07 September 2018 ,Al Assaf and Partners for Trading and Contracting ,-,Private,Construction,
24,,Manufacture of explosion prevention products.,Saudi Arabia,2005," Also known as: PEC, XS Last updated on: 30 April 2019 ",Petroleum Energy Co. Ltd. ,-,Private,Industrial Manufacturing,
25,,Manufacture of wires and cables.,Saudi Arabia,2008, Also known as: Rescab Last updated on: 30 November 2018 ,Red Sea Cable Company ,190,Private,Industrial Manufacturing,
26,,Provides foreign exchange and money transfer services.,Saudi Arabia,1972, Last updated on: 25 January 2016 ,Al Rajhi Commercial Foreign Exchange (merged),-,Private,Financial Services,
27, 355727 Saudi Arabia Riyadh,,Saudi Arabia,, Last updated on: 07 September 2018 ,Saudi Rocks Development ,-,Private,Construction,"Tel: +966 11-542197,"
28,,"Provides erection and commissioning of columns, towers, vessels, drums and heat exchangers; erection and precision alignment of pumps, fans, blowers, and compressors; installation, testing and commissioning of electrical equipment; civil contracting for buildings; fireproofing, insulation and painting.",Saudi Arabia,1978, Last updated on: 25 January 2016 ,AGAP Arabia (merged),-,Private,Construction,
29,,,Saudi Arabia,, Last updated on: 07 September 2018 ,Saleh Saeed Taishan and Sons Company ,-,Private,Construction,
30, Jubail Chemical Industries Company Building Street 263 Jubail Industrial City 10661 Saudi Arabia Jubail 31961 ,"Production of epoxy resins, epichlorohydrin, liquid caustic soda, calcium chloride and coatings.",Saudi Arabia,1999, Also known as: JANA Last updated on: 26 November 2018 ,Jubail Chemical Industries Company ,300,Private,Industrial Manufacturing,"Tel: +966 13-347-8888,Tel: +966 13-358-5002,Fax: +966 13-347-8666,Fax: +966 13-358-3192,Email: info@jana-ksa.com,www.jana-ksa.net,"
31, Saudi Arabia Jeddah,Organizes fairs and exhibitions.,Saudi Arabia,1989, Last updated on: 25 January 2016 ,Saudi Exhibition Company (dissolved),-,Private,Services,
32, The Institute of Finance Building Al Maabar Street Al Moatamarat Area 10820 Saudi Arabia Riyadh 11443 ,Provides training services in finance.,Saudi Arabia,, Also known as: IOF Last updated on: 21 January 2019 ,The Institute of Finance ,60,Government,Education,"Tel: +966 11-466-2688,Tel: +966 11-463-3000,Tel: +966 11-466-2005,Fax: +966 11-466-2368,Fax: +966 11-441-8759,Email: info@iobf.org,www.iof.org.sa,"
33, Jamil Square Building Al Tahlia Street Ground Floor Al Andalus District 1526 Saudi Arabia Jeddah 21441 ,Manufacture of watches; ownership and operation of watches retail outlets.,Saudi Arabia,2004, Also known as: Mouawad Saudi Arabia Last updated on: 31 October 2018 ,Mouawad Al Tijariah LLC ,52,Foreign,Consumer Goods,"Tel: +966 12-610-6192,Tel: +966 12-610-6194,Fax: +966 12-610-6195,www.mouawad.com,"
34, Taiba Company for Gold & Jewelry Building King Fahed Street Al Kandarah Area 20705 Saudi Arabia Jeddah 21465 ,Manufacture of jewelry; ownership and operation of jewelry retail stores.,Saudi Arabia,1989, Also known as: Taiba Last updated on: 30 November 2018 ,Taiba Company for Gold & Jewelry ,140,Private,Consumer Goods,"Tel: +966 12-645-0000,Fax: +966 12-642-5600,Email: info@taiba.com,www.taiba.com,"
35, Alireza Tower Medina Road 14th Floor Al Sharafiyah District 18636 Saudi Arabia Jeddah 21425 ,"Manufacture of detergent cleansers, disinfectants, packaging products and food service machinery and equipment; distribution of household, industrial, construction, agricultural, water treatment, basic and intermediate chemicals, home appliances, sanitizers, fragrances and toiletries; courts construction and installation of swimming pools and sport courts; offers food safety training courses; provides chemical storage, turnkey development management, waste water treatment and specialty cleaning services including hydroblasting and jbot services; distribution of software solutions including enterprise resources planning. Through its main subsidiaries; it owns and operates fast food and quick service restaurants; production of bottled water.",Saudi Arabia,1976," Also known as: Reza, Reza Group, Reza Investment Last updated on: 31 October 2017 ",Reza Investment Company Ltd. ,,Private,Consumer Goods,"Tel: +966 12-653-3424,Fax: +966 12-651-1420,Email: reza@rezagroup.com,www.rezagroup.com,"
36, Al-Watania Consolidated Distribution Company Building Olaya Main Road Al Sahafa Quarter Area 84540 Saudi Arabia Riyadh 11671 ,"Distribution of newspapers, books, magazines and periodicals.",Saudi Arabia,1985, Also known as: Al Watania Distribution Last updated on: 27 November 2017 ,Al-Watania Consolidated Distribution Company ,3000,Private,Media,"Tel: +966 11-487-1414,Fax: +966 11-487-1460,Email: info@alwataniaonline.com.sa,"
37, Saudi Polyolefins Company Building Street 183 Jubail Industrial City 35579 Saudi Arabia Jubail 31961 ,Manufacture of petrochemicals including propylene and polypropylene.,Saudi Arabia,2001, Also known as: SPC Last updated on: 31 January 2017 ,Saudi Polyolefins Company ,400,Private,Oil and Gas,"Tel: +966 13-358-2000,Tel: +966 13-359-9543,Fax: +966 13-359-9598,Fax: +966 13-358-2558,"
38," Matbouli Plaza Al Maadi Street 4th Floor, Office 409 Al Ruwais District 122194 Saudi Arabia Jeddah 21332 ","Provides advertising, marketing and branding services; offers media buying and planning services.",Saudi Arabia,1998, Also known as: 3Points Last updated on: 16 November 2018 ,3Points Advertising ,33,Private,Services,"Tel: +966 12-657-1499,Fax: +966 12-657-1662,Email: info@3points-ad.com,www.3points-ad.com,"
39, Rexam United Arab Can Manufacturing Company Building Abqiq Road Dammam Second Industrial City 12601 Saudi Arabia Dammam 31483 ,Manufacture of packaging products including aluminum cans and can ends.,Saudi Arabia,1994," Also known as: RUAC, Rexam UAC Last updated on: 11 April 2019 ",Rexam United Arab Can Manufacturing Company ,,Foreign,Industrial Manufacturing,"Tel: +966 13-812-1361,Fax: +966 13-812-1363,"
40, Aljomaih Automotive Company LLC Building King Khalid Street 4th Floor 224 Saudi Arabia Dammam 31411 ,"Distribution of passenger cars, pickups, vans and automotive spare parts; provides automotive repair and maintenance services. Through its main subsidiaries; conventional lease financing services; civil contracting for power projects.",Saudi Arabia,1967," Also known as: AAC, Aljomaih Auto, Aljomaih Automotive Last updated on: 26 November 2018 ",Aljomaih Automotive Company LLC ,2500,Private,Transport,"Tel: +966 13-833-7777,Tel: +966 13-847-2222,Fax: +966 13-834-5751,Fax: +966 13-847-3623,Email: info@aljomaihauto.com,www.aljomaihauto.com,"
41, Le Meridien Jeddah Building Medinah Road Al Rawdah Area 11633 Saudi Arabia Jeddah 21463 ,Ownerhsip and operation of a hotel.,Saudi Arabia,1997, Last updated on: 24 April 2019 ,Le Meridien Jeddah ,170,Private,Leisure and Tourism,"Tel: +966 12-663-3333,Fax: +966 12-663-2333,Email: sales.lmjeddah@lemeridien.com,www.lemeridien-jeddah.com,"
42, Saudi Arabian Fabricated Metals Industry Company Limited Building Salahouddin Al Ayoubi Street 328 Saudi Arabia Al Khobar 31952 ,"Manufacture of fabricated metal products including steel structures, storage tanks, pressure vessels, metering skid, spectacle plates, spacers, ladders, platforms, stairs, stairways and hand railing; manufacture of pipes, seals, flare stacks and flare tips; provides welding, hydro testing, abrasive blasting, painting and acid cleaning works.",Saudi Arabia,1974, Also known as: SAFAMI Last updated on: 08 October 2018 ,Saudi Arabian Fabricated Metals Industry Company Limited ,200,Private,Industrial Manufacturing,"Tel: +966 13-882-7068,Tel: +966 13-882-7235,Tel: +966 13-882-5700,Fax: +966 13-882-5193,Email: safamisales@safami.com.sa,www.safami.com,"
43, King Fahd Complex for the Printing of the Holy Quran Building Tabuk Trunk Road Al Medina Al Munawwarah Area 6262 Saudi Arabia Medina,Publishing of religious books; provides printing services for religious books.,Saudi Arabia,1984," Also known as: KFCPHQ, Quran Complex Last updated on: 21 June 2019 ",King Fahd Complex for the Printing of the Holy Quran ,100,Government,Media,"Tel: +966 14-861-5600,Fax: +966 14-861-5495,Email: kfcphq@qurancomplex.org,www.qurancomplex.gov.sa,"
44, Al Hindi Building Madina Road Area K14 599 Saudi Arabia Jeddah 21421 ,"Distribution of cameras, photo films, batteries, studio light, printing ink, photographic paper and printing machines.",Saudi Arabia,1953, Last updated on: 28 February 2019 ,Samir Trading and Marketing CJSC ,600,Private,Consumer Goods,"Tel: +966 12-682-8219,Fax: +966 12-683-0820,"
45, Al Bayt Building King Abdulaziz Road 28170 Saudi Arabia Riyadh 11437 ,Manufacture and distribution of generic pharmaceuticals and cosmetics products; provides research and development services.,Saudi Arabia,1994," Also known as: TMPC, Tabuk, Tabuk Pharmaceuticals Last updated on: 24 January 2019 ",Tabuk Pharmaceuticals Manufacturing Company ,2000,Private,Health Care,"Tel: +966 11-477-4946,Fax: +966 11-478-2686,Email: bd@tabukpharmaceuticals.com,www.tabukpharmaceuticals.com,"
46, Saudi Customs Authorities Building King Fahd Causeway Area 3483 Saudi Arabia Riyadh 11197 ,Implements and regulates customs procedures; facilitates smooth movement of legitimate trade and leverages economic and social development.,Saudi Arabia,1930," Also known as: SADC, Saudi Customs Last updated on: 26 June 2019 ",Saudi Customs Authorities ,-,Government,Governmental Institutions,"Tel: +966 11-401-3334,Tel: +966 11-401-3333,Fax: +966 11-404-3412,Email: webmaster@customs.gov.sa,www.customs.gov.sa,"
47, Saudi German Hospital Jeddah Building Batterjee Street Al Zahra District 2550 Saudi Arabia Jeddah 21461 ,Ownership and operation of a hospital.,Saudi Arabia,1988, Also known as: SGH Group Last updated on: 30 November 2018 ,Saudi German Hospital Jeddah ,1500,Private,Health Care,"Tel: +966 12-260-6000,Fax: +966 12-683-5874,"
48, Industrial Chemicals & Resins Co. Ltd. Building Makkah Street Dammam Industrial City 2 7952 Saudi Arabia Dammam 31472 ,Manufacture of industrial chemicals including unsaturated polyester resins.,Saudi Arabia,1998, Also known as: ICR Last updated on: 29 March 2019 ,Industrial Chemicals & Resins Co. Ltd. ,135,Private,Industrial Manufacturing,"Tel: +966 13-812-2088,Tel: +966 13-812-2089,Fax: +966 13-812-1995,Email: info@icr.com.sa,www.icr.com.sa,"
49, 688 Saudi Arabia Al Khafji  31971 ,Provides direct investment in the oil and gas sector. Through its main subsidiary; exploration of oil.,Saudi Arabia,2000," Also known as: AGOC, Aramco Gulf Operations Last updated on: 08 March 2019 ",Aramco Gulf Operations Company LTD ,,Government,Oil and Gas,"Tel: +966 13-765-2000,Email: info@agoc.com.sa,www.agoc.com.sa,"
50, Saad Group Building Salahuddin Al Ayoubi Street Al Hizam Al Thahabi Area 3250 Saudi Arabia Al Khobar 31952 ,Provides direct investments in various sectors.,Saudi Arabia,1980, Also known as: Saad Last updated on: 24 September 2018 ,Saad Group (under liquidation),,Private,Financial Services,"Tel: +966 13-882-2220,Fax: +966 13-882-7989,Email: info@saad.com.sa,"
51, Khalifa Abdulmohsin Al Saif & Partners Motors Building Al Khurais Street Sharqiyah Area 5122 Saudi Arabia Riyadh 11422 ,Provides automotive repair and maintenance services.,Saudi Arabia,1995," Also known as: Al Saif Motors, Khalifa Al-Saif Motors Last updated on: 31 January 2019 ",Khalifa Abdulmohsin Al Saif & Partners Motors ,100,Private,Transport,"Tel: +966 11-237-0001,Fax: +966 11-273-0002,Email: info@alsaif-motors.com,www.alsaif-motors.com,"
52, Musalli Factory for Gold & Jewellery Building Al Sulaymaniyah East Highway Street Al Sulaymaniyah Area 9087 Saudi Arabia Jeddah 21413 ,Manufacture of gold and jewellery.,Saudi Arabia,1986, Also known as: MF Last updated on: 12 July 2019 ,Musalli Factory for Gold & Jewellery ,350,Private,Consumer Goods,"Tel: +966 12-629-2222,Fax: +966 12-629-1111,Email: info@musallifactory.com,www.musallifactory.com,"
53, Cement Product Industry Company Limited Building Street 68 Jeddah Industrial City 4 3386 Saudi Arabia Jeddah 21471 ,Manufacture of packaging products including paper bags.,Saudi Arabia,1972, Also known as: CPI Last updated on: 21 December 2018 ,Cement Product Industry Company Limited ,100,Private,Industrial Manufacturing,"Tel: +966 12-636-4500,Tel: +966 12-637-7559,Tel: +966 12-638-8771,Fax: +966 12-638-8551,Email: info@cementbags.com,www.cementbags.com,"
54, Al Jazirah Home Appliances Co. Ltd. Building Al-Kharj Road Riyadh First Industrial City 2872 Saudi Arabia Riyadh 11461 ,"Manufacture of home appliances including water refrigerators, washing machines, heating, ventilation and air conditioning equipment; ownership and operation of home appliances retail outlets.",Saudi Arabia,1973, Also known as: Al Jazirah Last updated on: 31 January 2019 ,Al Jazirah Home Appliances Co. Ltd. ,80,Private,Consumer Goods,"Tel: +966 11-448-0353,Fax: +966 11-448-7214,Email: info@al-jazierah.com,www.al-jazierah.com,"
55, Al-Musairiey Metallic Industries Company Building Street 216 Riyadh Industrial Area 2 42491 Saudi Arabia Riyadh 11541 ,"Manufacture of steel sheets, metal pipes and tubes.",Saudi Arabia,1990, Also known as: Al Musairiey Last updated on: 30 April 2019 ,Al-Musairiey Metallic Industries Company ,140,Private,Industrial Manufacturing,"Tel: +966 11-265-0880,Fax: +966 11-265-2290,Email: info@musairiey.com,www.musairiey.com,"
56, Gulf Packaging Industries Limited Building Jubail Industrial City 1503 Saudi Arabia Jubail 31951 ,Manufacture of biaxially oriented polypropylene films.,Saudi Arabia,1989," Also known as: GPIL, Gulf Pack Last updated on: 19 November 2018 ",Gulf Packaging Industries Limited ,300,Private,Industrial Manufacturing,"Tel: +966 13-341-2244,Fax: +966 13-340-4161,Email: info@gulfpack.com.sa,www.gulfpack.com.sa,"
57, Aldukheil Financial Group Building Maathar Street Old Airport Area 2462 Saudi Arabia Riyadh 11451 ,Provides investment banking services including corporate finance and investment advisory on mergers and acquisitions.,Saudi Arabia,1979, Also known as: AFG Last updated on: 18 January 2019 ,Aldukheil Financial Group ,150,Private,Financial Services,"Tel: +966 11-430-9800,Tel: +966 11-430-9815,Fax: +966 11-478-7569,Email: info@aldukheil.com.sa,www.aldukheil.com.sa,"
58, Al Mahamal Tower King Abdulaziz Street 10th Floor Al Balad Area 16645 Saudi Arabia Jeddah 21474 ,Holding company with interests in production of edible oils and rice; distribution of grains; operation of seaports.,Saudi Arabia,1993, Last updated on: 09 September 2017 ,AJWA Group for Food Industries Holding Co. Ltd. ,441,Foreign,Food and Beverages,"Tel: +966 12-642-0552,Fax: +966 12-644-0047,Email: info@ajwa.com,"
